category,description
model organism database,Subset that is relevant for a typical Model Organism Database (MOD)
translator minimal,Minimum subset of translator work
samples,Sample/biosample datamodel
testing,TBD
chemical formula value,A chemical formula
category type,A primitive type in which the value denotes a class within the biolink model. The value must be a URI or a CURIE. In a Neo4j representation  the value should be the CURIE for the biolink class  for example biolink:Gene. For an RDF representation  the value should be a URI such as https://w3id.org/biolink/vocab/Gene
iri type,An IRI
label type,A string that provides a human-readable name for an entity
predicate type,A CURIE from the biolink related_to hierarchy. For example  biolink:related_to  biolink:causes  biolink:treats.
narrative text,A string that provides a human-readable description of something
symbol type, 
frequency value, 
percentage frequency value, 
ratio, 
quotient, 
unit, 
time type, 
biological sequence, 
has attribute,connects any entity to an attribute
has attribute type,connects an attribute to a class that describes it
has qualitative value,connects an attribute to a value
has quantitative value,connects an attribute to a value
has numeric value,connects a quantity value to a number
has unit,connects a quantity value to a unit
one-based,A position in the base coordinate system.  Base coordinates start at position 1 instead of position 0.
fully-closed,A position in the base coordinate system.  Base coordinates start at position 1 instead of position 0.
base coordinate,A position in the base coordinate system.  Base coordinates start at position 1 instead of position 0.
node property,A grouping for any property that holds between a node and a value
id,A unique identifier for an entity. Must be either a CURIE shorthand for a URI or a complete URI
iri,An IRI for an entity. This is determined by the id using expansion rules.
type, 
category,Name of the high level ontology class in which this entity is categorized. Corresponds to the label for the biolink entity type class.  * In a neo4j database this MAY correspond to the neo4j label tag.  * In an RDF database it should be a biolink model class URI. This field is multi-valued. It should include values for ancestors of the biolink class; for example  a protein such as Shh would have category values `biolink:Protein`  `biolink:GeneProduct`  `biolink:MolecularEntity`  ... In an RDF database  nodes will typically have an rdf:type triples. This can be to the most specific biolink class  or potentially to a class more specific than something in biolink. For example  a sequence feature `f` may have a rdf:type assertion to a SO class such as TF_binding_site  which is more specific than anything in biolink. Here we would have categories {biolink:GenomicEntity  biolink:MolecularEntity  biolink:NamedThing}
publication type,Ontology term for publication type may be drawn from Dublin Core types (https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/)  FRBR-aligned Bibliographic Ontology (https://sparontologies.github.io/fabio/current/fabio.html)  the MESH publication types (https://www.nlm.nih.gov/mesh/pubtypes.html)  the Confederation of Open Access Repositories (COAR) Controlled Vocabulary for Resource Type Genres (http://vocabularies.coar-repositories.org/documentation/resource_types/)  Wikidata (https://www.wikidata.org/wiki/Wikidata:Publication_types)  or equivalent publication type ontology. When a given publication type ontology term is used within a given knowledge graph  then the CURIE identified term must be documented in the graph as a concept node of biolink:category biolink:OntologyClass.
label,A human-readable name for an attribute or entity.
display name,A human-readable name for an attribute or entity.
title,A human-readable name for an attribute or entity.
name,A human-readable name for an attribute or entity.
stoichiometry,the relationship between the relative quantities of substances taking part in a reaction or forming a compound  typically a ratio of whole integers.
reaction direction,the direction of a reaction as constrained by the direction enum (ie: left_to_right  neutral  etc.)
reaction balanced, 
reaction side,the side of a reaction being modeled (ie: left or right)
symbol,Symbol for a particular thing
alias,Alternate human-readable names for a thing
synonym,Alternate human-readable names for a thing
exact synonym, 
broad synonym, 
narrow synonym, 
related synonym, 
topic,Connects a node to a vocabulary term or ontology class that describes some aspect of the entity. In general specific characterization is preferred. See https://github.com/biolink/biolink-model/issues/238
descriptors,Connects a node to a vocabulary term or ontology class that describes some aspect of the entity. In general specific characterization is preferred. See https://github.com/biolink/biolink-model/issues/238
has topic,Connects a node to a vocabulary term or ontology class that describes some aspect of the entity. In general specific characterization is preferred. See https://github.com/biolink/biolink-model/issues/238
dbxref,A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge  or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.
Dbxref,A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge  or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.
DbXref,A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge  or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.
record url,A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge  or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.
source record urls,A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge  or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.
