is_a,category,description
 ,model organism database,Subset that is relevant for a typical Model Organism Database (MOD)
 ,translator minimal,Minimum subset of translator work
 ,samples,Sample/biosample datamodel
 ,testing,TBD
 ,chemical formula value,A chemical formula
 ,category type,A primitive type in which the value denotes a class within the biolink model. The value must be a URI or a CURIE. In a Neo4j representation  the value should be the CURIE for the biolink class  for example biolink:Gene. For an RDF representation  the value should be a URI such as https://w3id.org/biolink/vocab/Gene
 ,iri type,An IRI
 ,label type,A string that provides a human-readable name for an entity
 ,predicate type,A CURIE from the biolink related_to hierarchy. For example  biolink:related_to  biolink:causes  biolink:treats.
 ,narrative text,A string that provides a human-readable description of something
 ,symbol type, 
 ,frequency value, 
 ,percentage frequency value, 
 ,ratio, 
 ,quotient, 
 ,unit, 
 ,time type, 
 ,biological sequence, 
 ,has attribute,connects any entity to an attribute
 ,has attribute type,connects an attribute to a class that describes it
 ,has qualitative value,connects an attribute to a value
 ,has quantitative value,connects an attribute to a value
 ,has numeric value,connects a quantity value to a number
 ,has unit,connects a quantity value to a unit
sequence localization attribute,one-based,A position in the base coordinate system.  Base coordinates start at position 1 instead of position 0.
sequence localization attribute,fully-closed,A position in the base coordinate system.  Base coordinates start at position 1 instead of position 0.
sequence localization attribute,base coordinate,A position in the base coordinate system.  Base coordinates start at position 1 instead of position 0.
 ,node property,A grouping for any property that holds between a node and a value
 ,id,A unique identifier for an entity. Must be either a CURIE shorthand for a URI or a complete URI
 ,iri,An IRI for an entity. This is determined by the id using expansion rules.
 ,type, 
type,category,Name of the high level ontology class in which this entity is categorized. Corresponds to the label for the biolink entity type class.  * In a neo4j database this MAY correspond to the neo4j label tag.  * In an RDF database it should be a biolink model class URI. This field is multi-valued. It should include values for ancestors of the biolink class; for example  a protein such as Shh would have category values `biolink:Protein`  `biolink:GeneProduct`  `biolink:MolecularEntity`  ... In an RDF database  nodes will typically have an rdf:type triples. This can be to the most specific biolink class  or potentially to a class more specific than something in biolink. For example  a sequence feature `f` may have a rdf:type assertion to a SO class such as TF_binding_site  which is more specific than anything in biolink. Here we would have categories {biolink:GenomicEntity  biolink:MolecularEntity  biolink:NamedThing}
